Node,Cluster,Betweenness,Closeness,PageRank
w4246022655,1,71.53952052,0.013888889,0.037338783
w4230037199,1,12.31199463,0.011627907,0.017438353
w2155604485,1,4.380250147,0.011627907,0.026636076
w2987676773,1,12.08894643,0.011904762,0.023945618
w1979787179,1,3.973125638,0.011363636,0.024426004
w2019760471,1,1.574079305,0.011111111,0.025389301
w2078672925,1,4.307986753,0.011363636,0.012332809
w2166200712,1,4.813289749,0.011235955,0.010984443
w2006172948,1,2.85431167,0.011363636,0.019293903
w1974993098,1,1.186325976,0.011235955,0.013909439
w2056938988,1,0.354239135,0.010638298,0.018042846
w2063556135,1,2.976122696,0.011363636,0.02098847
w2078527070,1,1.00985117,0.011111111,0.019920381
w2012869180,1,0.034113264,0.009259259,0.012918628
w1586677966,2,5.882271655,0.011363636,0.016324109
w3014081324,2,19.24665959,0.011764706,0.015084135
w1990451873,2,56.75649076,0.012345679,0.009644071
w2006644845,2,0.998507498,0.01,0.010279395
w2089474474,3,42.30989316,0.013333333,0.041196146
w2133705455,3,38.72483249,0.013333333,0.04042808
w2163569782,3,19.51983665,0.012658228,0.039301663
w2595422523,3,51.32292237,0.013157895,0.037444271
w2100082680,3,6.508315288,0.011494253,0.029378479
w2043527309,3,6.318137326,0.010989011,0.025921755
w1966350061,3,15.44020758,0.012048193,0.027562002
w2071688934,3,2.616212872,0.011111111,0.026897016
w2073855993,3,0.858222895,0.010869565,0.029854684
w1966325275,3,0.012454929,0.009345794,0.017989431
w2005653771,3,0.452141872,0.010638298,0.014815959
w2027209487,3,3.659528047,0.010752688,0.012788641
w2030704978,3,1.673659465,0.011111111,0.024100002
w2144489531,3,1.671412092,0.010989011,0.02522044
w2004805246,3,0.613064675,0.010869565,0.013244218
w2050969262,3,1.214211207,0.010416667,0.008751028
w2109209595,3,1.324209072,0.010416667,0.019639483
w1706578850,3,1.56481267,0.010752688,0.018320405
w1981141387,3,1.599782715,0.011111111,0.024676363
w2035376020,3,0.949601282,0.010989011,0.018438618
w1921365576,4,261.9827915,0.016129032,0.03225738
w2049428464,4,114.3440225,0.013888889,0.022607191
w2157565254,4,9.284143877,0.011363636,0.008638967
w3128452343,4,37.44992349,0.012820513,0.013831821
w2035726644,4,75.26837139,0.013513514,0.013049527
w2134907585,4,15.14925953,0.011904762,0.015398503
w4285719527,4,16.13261367,0.012048193,0.014941487
w2040591353,4,13.56708946,0.011494253,0.010716251
w1589785869,4,3.908317675,0.010638298,0.013617171
w1973000890,4,15.06443891,0.012195122,0.013298748
w2095038656,5,9.20748279,0.010204082,0.006171252
w2011331535,6,0,0.008,0.004606253
