Paper,DOI,Total Citations,TC per Year,Normalized TC
"HAROLD PASHLER, 2008, S1025063068",10.1111/j.1539-6053.2009.01038.x,1874,104.1111111,6.04516129
"RICHARD A. SCHMIDT, 1992, S58854535",10.1111/j.1467-9280.1992.tb00029.x,1544,45.41176471,3.089544772
"MICHAEL C. ANDERSON, 1994, S4306525036",10.1037/0278-7393.20.5.1063,1407,43.96875,4.558315335
"A RICHARDSON-KLAVEHN, 1988, S90670110",10.1146/annurev.ps.39.020188.002355,999,26.28947368,3.365902965
"STEVEN M. SMITH, 1978, S114265899",10.3758/bf03197465,713,14.85416667,2.796078431
"ROBERT A. BJORK, 1989, ",,587,15.86486486,1
"ROBERT A. BJORK, 1974, S36783443",10.1016/0010-0285(74)90009-7,564,10.84615385,1.549450549
"NATE KORNELL, 2008, S58854535",10.1111/j.1467-9280.2008.02127.x,547,30.38888889,1.764516129
"NATE KORNELL, 2007, S138679565",10.3758/bf03194055,494,26,2.046961326
"NATE KORNELL, 2009, S18666220",10.1037/a0015729,448,26.35294118,1.478547855
"ELIZABETH LIGON BJORK, 2011, ",,445,29.66666667,1.871320437
"MICHAEL C. ANDERSON, 2000, S138679565",10.3758/bf03214366,427,16.42307692,7.789386401
"ANTHONY D. WAGNER, 2001, S103225281",10.1006/nimg.2001.0936,426,17.04,2.547085202
"AARON S. BENJAMIN, 1998, S62013203",10.1037//0096-3445.127.1.55,402,14.35714286,1.386206897
"ROBERT A. BJORK, 1970, S17882476",10.1016/s0022-5371(70)80059-7,347,6.196428571,1.374257426
"ASHER KORIAT, 2004, S62013203",10.1037/0096-3445.133.4.643,326,14.81818182,1.952095808
"ASHER KORIAT, 2005, S18666220",10.1037/0278-7393.31.2.187,325,15.47619048,2.462121212
"R. EDWARD GEISELMAN, 1983, S62013203",10.1037//0096-3445.112.1.58,310,7.209302326,1.119133574
"DANIEL DRUCKMAN, 1992, S2764375719",10.5860/choice.30-2385,285,8.382352941,0.570285143
"ADDISON E. WOODWARD, 1973, S17882476",10.1016/s0022-5371(73)80040-4,279,5.264150943,2.714007782
"NATE KORNELL, 2011, S53787413",10.1016/j.jml.2011.04.002,274,18.26666667,1.152228764
"KAREN PIERCE, 2011, S3774022",10.1016/j.jpeds.2011.02.036,251,16.73333333,1.055508831
"ELLIOT HIRSHMAN, 1988, S18666220",10.1037/0278-7393.14.3.484,248,6.526315789,0.835579515
"R. EDWARD GEISELMAN, 1983, S62013203-a",10.1037/0096-3445.112.1.58,244,5.674418605,0.880866426
"MONICA S. BIRNBAUM, 2012, S114265899",10.3758/s13421-012-0272-7,237,16.92857143,2.22983871
"DANIEL DRUCKMAN, 1995, S2764375719",10.5860/choice.32-5359,236,7.612903226,1.569844789
"JOHN SHAW, 1995, S138679565",10.3758/bf03210965,215,6.935483871,1.430155211
"ROBERT A. BJORK, 1988, ",,208,5.473684211,0.700808625
"DOMINIC A. SIMON, 2001, S18666220",10.1037/0278-7393.27.4.907,201,8.04,1.201793722
"ELIZABETH LIGON BJORK, 1996, S75102731",10.1006/ccog.1996.0011,200,6.666666667,2.346041056
"MICHAEL C. ANDERSON, 1994, ",,199,6.21875,0.644708423
"ROBERT A. BJORK, 1999, ",,196,7.259259259,1.661016949
"VERED HALAMISH, 2011, S18666220",10.1037/a0023219,182,12.13333333,0.765349033
"ELIZABETH LIGON BJORK, 1998, ",,178,6.357142857,0.613793103
"BENJAMIN C. STORM, 2006, S138679565",10.3758/bf03213919,174,8.7,1.8125
"NATE KORNELL, 2010, S55618883",10.1037/a0017807,172,10.75,1.900552486
"LYNNE M. REDER, 1974, S4210168021",10.1037/h0036115,164,3.153846154,0.450549451
"ROBERT A. BJORK, 1968, S2764680450",10.3758/bf03331404,160,2.75862069,2.637362637
"BARBARA A. SPELLMAN, 1992, S58854535",10.1111/j.1467-9280.1992.tb00680.x,160,4.705882353,0.32016008
"NATE KORNELL, 2009, S62013203",10.1037/a0017350,158,9.294117647,0.521452145
"ROBERT A. BJORK, 1970, S17882476-a",10.1016/s0022-5371(70)80103-7,158,2.821428571,0.625742574
"ROBERT A. BJORK, 2020, S2764634622",10.1016/j.jarmac.2020.09.003,155,25.83333333,4.769230769
"CAROLE L. YUE, 2012, S114265899",10.3758/s13421-012-0255-8,154,11,1.448924731
"ELIZABETH J. MARSH, 2007, S138679565",10.3758/bf03194051,152,8,0.629834254
"ROBERT A. BJORK, 2015, S206630335",10.5406/amerjpsyc.128.2.0241,146,13.27272727,4.462882096
"WILLIAM B. WHITTEN, 1977, S17882476",10.1016/s0022-5371(77)80040-6,142,2.897959184,1
"NATE KORNELL, 2008, S47258695",10.1080/09658210701763899,141,7.833333333,0.45483871
"JERI L. LITTLE, 2012, S58854535",10.1177/0956797612443370,141,10.07142857,1.326612903
"ASHER KORIAT, 2006, S18666220",10.1037/0278-7393.32.5.1133,141,7.05,1.46875
"VERONICA X. YAN, 2016, S62013203",10.1037/xge0000177,135,13.5,3.698630137
"ELIZABETH LIGON BJORK, 1996, ",,134,4.466666667,1.571847507
"R. EDWARD GEISELMAN, 1980, S36783443",10.1016/0010-0285(80)90008-0,121,2.630434783,1
"VERONICA X. YAN, 2014, S2764634622",10.1016/j.jarmac.2014.04.003,110,9.166666667,2.827763496
"DANIEL R. KIMBALL, 2002, S62013203",10.1037//0096-3445.131.1.116,109,4.541666667,1.539548023
"MICHAEL C. ANDERSON, 1994, S18666220",10.1037/0278-7393.20.5.1063,109,3.40625,0.353131749
"MATTHEW HAYS, 2012, S18666220",10.1037/a0028468,108,7.714285714,1.016129032
"BENNETT L. SCHWARTZ, 1997, S114020440",10.1111/1467-8721.ep10772899,107,3.689655172,1.981481481
"ADDISON E. WOODWARD, 1971, S4210168021",10.1037/h0031188,103,1.872727273,1
"DANIEL R. KIMBALL, 2002, S62013203-a",10.1037/0096-3445.131.1.116,103,4.291666667,1.45480226
"BENJAMIN C. STORM, 2010, S114265899",10.3758/mc.38.2.244,100,6.25,1.104972376
"ROBERT A. BJORK, 1973, S4210168021",10.1037/h0034757,99,1.867924528,0.963035019
"SARA L. APPLETON-KNAPP, 2005, S145429826",10.1086/432236,98,4.666666667,0.742424242
"DOUGLAS S. BELL, 2008, S116608325",10.1007/s11606-008-0604-2,96,5.333333333,0.309677419
"ASHER KORIAT, 2006, S114265899",10.3758/bf03193244,89,4.45,0.927083333
"CAROLE L. YUE, 2013, S61703936",10.1037/a0031971,87,6.692307692,2.597014925
"BENJAMIN C. STORM, 2008, S18666220",10.1037/0278-7393.34.1.230,82,4.555555556,0.264516129
"PATRICIA A. DEWINSTANLEY, 2002, S96205195",10.1002/tl.44,81,3.375,1.144067797
"NICHOLAS C. SODERSTROM, 2014, S53787413",10.1016/j.jml.2014.03.003,80,6.666666667,2.05655527
"BENJAMIN C. STORM, 2007, S59062809",10.1080/17470210701288706,78,4.105263158,0.32320442
"ELIZABETH LIGON BJORK, 2003, S18666220",10.1037/0278-7393.29.4.524,76,3.304347826,1
"MICHAEL C. ANDERSON, 1994, S18666220-a",10.1037//0278-7393.20.5.1063,73,2.28125,0.23650108
"CATHERINE O. FRITZ, 2000, S179213746",10.1348/000712600161952,72,2.769230769,1.313432836
"MATTHEW HAYS, 2010, S138679565",10.3758/pbr.17.6.797,66,4.125,0.729281768
"BENJAMIN C. STORM, 2012, S2765022084",10.1080/20445911.2012.674030,65,4.642857143,0.61155914
"A RICHARDSON-KLAVEHN, 1994, S114265899",10.3758/bf03200858,64,2,0.207343413
"ROBERT A. BJORK, 2005, S4306523994",,62,2.952380952,0.46969697
"ROBERT A. BJORK, 1979, S168863630",10.1080/00461527909529203,61,1.29787234,1
"JAMES G. GREENO, 1973, S90670110",10.1146/annurev.ps.24.020173.000501,53,1,0.515564202
"VERONICA X. YAN, 2017, S79587319",10.1037/xap0000139,52,5.777777778,2
"WALTER REITMAN, 1973, S17882476",10.1016/s0022-5371(73)80003-9,52,0.981132075,0.505836576
"ASHER KORIAT, 2006, S18666220-a",10.1037/0278-7393.32.3.595,50,2.5,0.520833333
"JOHN A. SWETS, 1990, S58854535",10.1111/j.1467-9280.1990.tb00074.x,50,1.388888889,2
"ALLISON D. CANTOR, 2014, S114265899",10.3758/s13421-014-0462-6,48,4,1.233933162
"AARON S. BENJAMIN, 2000, S18666220",10.1037//0278-7393.26.3.638,46,1.769230769,0.839137645
"ROBERT A. BJORK, 1978, S4210236024",10.1037/0278-7393.4.4.347,45,0.9375,0.176470588
