"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"C9UHHVK8","journalArticle","2011","Pierce, Karen; Carter, Cindy; Weinfeld, Melanie; Desmond, Jamie; Hazin, Roxana; Bjork, Robert; Gallagher, Nicole","Detecting, Studying, and Treating Autism Early: The One-Year Well-Baby Check-Up Approach","The Journal of Pediatrics","","0022-3476","10.1016/j.jpeds.2011.02.036","https://doi.org/10.1016/j.jpeds.2011.02.036","","2011-04-28","2025-08-03 23:28:32","2025-08-16 09:06:20","","458-465.e6","","3","159","","","","","","","","","","en","","","","","","","Publisher: Elsevier BV Citations: 199 (Crossref) [2025-08-10] Citations: 264 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/HC9SQJLN/Pierce 等 - 2011 - Detecting, Studying, and Treating Autism Early The One-Year Well-Baby Check-Up Approach.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5QKAT7BA","journalArticle","1988","Richardson-Klavehn, A; Bjork, Robert","Measures of Memory","Annual Review of Psychology","","0066-4308","10.1146/annurev.ps.39.020188.002355","https://doi.org/10.1146/annurev.ps.39.020188.002355","","1988-01-01","2025-08-03 23:28:32","2025-08-16 09:05:40","","475-543","","1","39","","","","","","","","","","en","","","","","","","Publisher: Annual Reviews Citations: 643 (Crossref) [2025-08-10] Citations: 1037 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/6CQS3RMB/Richardson-Klavehn和Bjork - 1988 - Measures of Memory.pdf","","Paradigm shift","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UCVZBAHC","journalArticle","1995","Shaw, John; Bjork, Robert; Handal, Allison","Retrieval-induced forgetting in an eyewitness-memory paradigm","Psychonomic Bulletin & Review","","1069-9384","10.3758/bf03210965","https://doi.org/10.3758/bf03210965","","1995-06-01","2025-08-03 23:28:32","2025-08-16 09:06:42","","249-253","","2","2","","","","","","","","","","en","","","","","","","Publisher: Springer Science+Business Media Citations: 138 (Crossref) [2025-08-04] Citations: 218 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/K546UZ7M/Shaw 等 - 1995 - Retrieval-induced forgetting in an eyewitness-memory paradigm.pdf","","Eyewitness memory; Interrogation; Misinformation; Retrieval-induced forgetting; Similarity (geometry); Suggestibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WR7VKI8C","journalArticle","2001","Simon, Dominic; Bjork, Robert","Metacognition in motor learning.","Journal of Experimental Psychology Learning Memory and Cognition","","0278-7393","10.1037/0278-7393.27.4.907","https://doi.org/10.1037/0278-7393.27.4.907","","2001-01-01","2025-08-03 23:28:32","2025-08-16 09:07:23","","907-912","","4","27","","","","","","","","","","en","","","","","","","Publisher: American Psychological Association Citations: 107 (Crossref) [2025-08-04] Citations: 240 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/Z4MZACEI/Simon和Bjork - 2001 - Metacognition in motor learning..pdf","","Motor Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XWQF9EQI","journalArticle","1978","Smith, Steven; Glenberg, Arthur; Bjork, Robert","Environmental context and human memory","Memory & Cognition","","0090-502X","10.3758/bf03197465","https://doi.org/10.3758/bf03197465","","1978-07-01","2025-08-03 23:28:32","2025-08-16 09:05:43","","342-353","","4","6","","","","","","","","","","en","","","","","","","Publisher: Springer Science+Business Media Citations: 459 (Crossref) [2025-08-10] Citations: 689 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/52LIDKH4/Smith 等 - 1978 - Environmental context and human memory.pdf","","Context effect; Context-dependent memory; Recall test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NU4UE7DU","journalArticle","1992","Spellman, Barbara; Bjork, Robert","When Predictions Create Reality: Judgments of Learning May Alter What They Are Intended to Assess","Psychological Science","","0956-7976","10.1111/j.1467-9280.1992.tb00680.x","https://doi.org/10.1111/j.1467-9280.1992.tb00680.x","","1992-09-01","2025-08-03 23:28:32","2025-08-16 09:07:02","","315-317","","5","3","","","","","","","","","","en","","","","","","","Publisher: SAGE Publishing Citations: 113 (Crossref) [2025-08-10] Citations: 182 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/WGTECDMZ/Spellman和Bjork - 1992 - When Predictions Create Reality Judgments of Learning May Alter What They Are Intended to Assess.pdf","","Covert; Metamemory; Psychological science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPFK725A","journalArticle","2006","Storm, Benjamin; Bjork, Elizabeth; Bjork, Robert; Nestojko, John","Is retrieval success a necessary condition for retrieval-induced forgetting?","Psychonomic Bulletin & Review","","1069-9384","10.3758/bf03213919","https://doi.org/10.3758/bf03213919","","2006-12-01","2025-08-03 23:28:32","2025-08-16 09:07:08","","1023-1027","","6","13","","","","","","","","","","en","","","","","","","Publisher: Springer Science+Business Media Citations: 111 (Crossref) [2025-08-10] Citations: 181 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/MQNLIT4H/Storm 等 - 2006 - Is retrieval success a necessary condition for retrieval-induced forgetting.pdf","","Cue-dependent forgetting; Motivated forgetting; Retrieval-induced forgetting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JXH498IZ","journalArticle","2001","Wagner, Anthony; Maril, Anat; Bjork, Robert; Schacter, Daniel","Prefrontal Contributions to Executive Control: fMRI Evidence for Functional Distinctions within Lateral Prefrontal Cortex","NeuroImage","","1053-8119","10.1006/nimg.2001.0936","https://doi.org/10.1006/nimg.2001.0936","","2001-12-01","2025-08-03 23:28:32","2025-08-16 09:05:54","","1337-1347","","6","14","","","","","","","","","","en","","","","","","","Publisher: Elsevier BV Citations: 329 (Crossref) [2025-08-10] Citations: 431 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/66SNCIR4/Wagner 等 - 2001 - Prefrontal Contributions to Executive Control fMRI Evidence for Functional Distinctions within Late.pdf","","Dorsolateral; Dorsolateral prefrontal cortex; Functional specialization; Ventrolateral prefrontal cortex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QFY4D4NP","journalArticle","2016","Yan, Veronica; Bjork, Elizabeth; Bjork, Robert","On the difficulty of mending metacognitive illusions: A priori theories, fluency effects, and misattributions of the interleaving benefit.","Journal of Experimental Psychology General","","0096-3445","10.1037/xge0000177","https://doi.org/10.1037/xge0000177","","2016-01-01","2025-08-03 23:28:32","2025-08-16 09:07:26","","918-933","","7","145","","","","","","","","","","en","","","","","","","Publisher: American Psychological Association Citations: 107 (Crossref) [2025-08-10] Citations: 131 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/VDAJWYHE/Yan 等 - 2016 - On the difficulty of mending metacognitive illusions A priori theories, fluency effects, and misatt.pdf","","Blocking (statistics); Debiasing; Interleaving; PsycINFO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IC47SGT7","journalArticle","1973","Woodward, Addison; Bjork, Robert; Jongeward, Robert","Recall and recognition as a function of primary rehearsal","Journal of Verbal Learning and Verbal Behavior","","0022-5371","10.1016/s0022-5371(73)80040-4","https://doi.org/10.1016/s0022-5371(73)80040-4","","1973-12-01","2025-08-03 23:28:32","2025-08-16 09:06:30","","608-617","","6","12","","","","","","","","","","en","","","","","","","Publisher: Academic Press Citations: 171 (Crossref) [2025-08-04] Citations: 257 (SemanticScholar) [2025-08-16]","","/Users/tommy/Zotero/storage/3ANA4X74/Woodward 等 - 1973 - Recall and recognition as a function of primary rehearsal.pdf","","Recall test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
